video_path,label
SSv2/20bn-something-something-v2/13233.webm,Approaching something with your camera
SSv2/20bn-something-something-v2/157590.webm,Approaching something with your camera
SSv2/20bn-something-something-v2/209783.webm,Approaching something with your camera
SSv2/20bn-something-something-v2/188459.webm,Attaching something to something
SSv2/20bn-something-something-v2/25935.webm,Attaching something to something
SSv2/20bn-something-something-v2/48596.webm,Attaching something to something
SSv2/20bn-something-something-v2/156770.webm,Bending something so that it deforms
SSv2/20bn-something-something-v2/31097.webm,Bending something so that it deforms
SSv2/20bn-something-something-v2/80251.webm,Bending something so that it deforms
SSv2/20bn-something-something-v2/39173.webm,Bending something until it breaks
SSv2/20bn-something-something-v2/43311.webm,Bending something until it breaks
SSv2/20bn-something-something-v2/74383.webm,Bending something until it breaks
SSv2/20bn-something-something-v2/119215.webm,Burying something in something
SSv2/20bn-something-something-v2/134571.webm,Burying something in something
SSv2/20bn-something-something-v2/69941.webm,Burying something in something
SSv2/20bn-something-something-v2/146765.webm,Closing something
SSv2/20bn-something-something-v2/202387.webm,Closing something
SSv2/20bn-something-something-v2/27288.webm,Closing something
SSv2/20bn-something-something-v2/173961.webm,Covering something with something
SSv2/20bn-something-something-v2/200352.webm,Covering something with something
SSv2/20bn-something-something-v2/53328.webm,Covering something with something
SSv2/20bn-something-something-v2/102132.webm,Digging something out of something
SSv2/20bn-something-something-v2/94713.webm,Digging something out of something
SSv2/20bn-something-something-v2/95052.webm,Digging something out of something
SSv2/20bn-something-something-v2/131391.webm,Dropping something behind something
SSv2/20bn-something-something-v2/3118.webm,Dropping something behind something
SSv2/20bn-something-something-v2/40999.webm,Dropping something behind something
SSv2/20bn-something-something-v2/105498.webm,Dropping something in front of something
SSv2/20bn-something-something-v2/161829.webm,Dropping something in front of something
SSv2/20bn-something-something-v2/202214.webm,Dropping something in front of something
SSv2/20bn-something-something-v2/118034.webm,Dropping something into something
SSv2/20bn-something-something-v2/215037.webm,Dropping something into something
SSv2/20bn-something-something-v2/95066.webm,Dropping something into something
SSv2/20bn-something-something-v2/112648.webm,Dropping something next to something
SSv2/20bn-something-something-v2/208471.webm,Dropping something next to something
SSv2/20bn-something-something-v2/28149.webm,Dropping something next to something
SSv2/20bn-something-something-v2/168827.webm,Dropping something onto something
SSv2/20bn-something-something-v2/207870.webm,Dropping something onto something
SSv2/20bn-something-something-v2/28764.webm,Dropping something onto something
SSv2/20bn-something-something-v2/152372.webm,Failing to put something into something because something does not fit
SSv2/20bn-something-something-v2/18156.webm,Failing to put something into something because something does not fit
SSv2/20bn-something-something-v2/88919.webm,Failing to put something into something because something does not fit
SSv2/20bn-something-something-v2/130324.webm,Folding something
SSv2/20bn-something-something-v2/160340.webm,Folding something
SSv2/20bn-something-something-v2/176693.webm,Folding something
SSv2/20bn-something-something-v2/198960.webm,Hitting something with something
SSv2/20bn-something-something-v2/217046.webm,Hitting something with something
SSv2/20bn-something-something-v2/4148.webm,Hitting something with something
SSv2/20bn-something-something-v2/111951.webm,Holding something
SSv2/20bn-something-something-v2/168817.webm,Holding something
SSv2/20bn-something-something-v2/212339.webm,Holding something
SSv2/20bn-something-something-v2/196706.webm,Holding something behind something
SSv2/20bn-something-something-v2/72240.webm,Holding something behind something
SSv2/20bn-something-something-v2/89800.webm,Holding something behind something
SSv2/20bn-something-something-v2/127911.webm,Holding something in front of something
SSv2/20bn-something-something-v2/172110.webm,Holding something in front of something
SSv2/20bn-something-something-v2/72300.webm,Holding something in front of something
SSv2/20bn-something-something-v2/120319.webm,Holding something next to something
SSv2/20bn-something-something-v2/124879.webm,Holding something next to something
SSv2/20bn-something-something-v2/56774.webm,Holding something next to something
SSv2/20bn-something-something-v2/113063.webm,Holding something over something
SSv2/20bn-something-something-v2/42824.webm,Holding something over something
SSv2/20bn-something-something-v2/45140.webm,Holding something over something
SSv2/20bn-something-something-v2/165067.webm,"Laying something on the table on its side, not upright"
SSv2/20bn-something-something-v2/19503.webm,"Laying something on the table on its side, not upright"
SSv2/20bn-something-something-v2/42464.webm,"Laying something on the table on its side, not upright"
SSv2/20bn-something-something-v2/198431.webm,Letting something roll along a flat surface
SSv2/20bn-something-something-v2/20027.webm,Letting something roll along a flat surface
SSv2/20bn-something-something-v2/77980.webm,Letting something roll along a flat surface
SSv2/20bn-something-something-v2/135273.webm,Letting something roll down a slanted surface
SSv2/20bn-something-something-v2/157512.webm,Letting something roll down a slanted surface
SSv2/20bn-something-something-v2/76937.webm,Letting something roll down a slanted surface
SSv2/20bn-something-something-v2/12558.webm,"Letting something roll up a slanted surface, so it rolls back down"
SSv2/20bn-something-something-v2/143601.webm,"Letting something roll up a slanted surface, so it rolls back down"
SSv2/20bn-something-something-v2/173837.webm,"Letting something roll up a slanted surface, so it rolls back down"
SSv2/20bn-something-something-v2/16568.webm,Lifting a surface with something on it but not enough for it to slide down
SSv2/20bn-something-something-v2/19541.webm,Lifting a surface with something on it but not enough for it to slide down
SSv2/20bn-something-something-v2/5483.webm,Lifting a surface with something on it but not enough for it to slide down
SSv2/20bn-something-something-v2/183421.webm,Lifting a surface with something on it until it starts sliding down
SSv2/20bn-something-something-v2/213197.webm,Lifting a surface with something on it until it starts sliding down
SSv2/20bn-something-something-v2/30106.webm,Lifting a surface with something on it until it starts sliding down
SSv2/20bn-something-something-v2/164290.webm,Lifting something up completely without letting it drop down
SSv2/20bn-something-something-v2/215895.webm,Lifting something up completely without letting it drop down
SSv2/20bn-something-something-v2/36943.webm,Lifting something up completely without letting it drop down
SSv2/20bn-something-something-v2/159641.webm,"Lifting something up completely, then letting it drop down"
SSv2/20bn-something-something-v2/33213.webm,"Lifting something up completely, then letting it drop down"
SSv2/20bn-something-something-v2/5564.webm,"Lifting something up completely, then letting it drop down"
SSv2/20bn-something-something-v2/140716.webm,Lifting something with something on it
SSv2/20bn-something-something-v2/146719.webm,Lifting something with something on it
SSv2/20bn-something-something-v2/99564.webm,Lifting something with something on it
SSv2/20bn-something-something-v2/197667.webm,Lifting up one end of something without letting it drop down
SSv2/20bn-something-something-v2/49829.webm,Lifting up one end of something without letting it drop down
SSv2/20bn-something-something-v2/93785.webm,Lifting up one end of something without letting it drop down
SSv2/20bn-something-something-v2/16059.webm,"Lifting up one end of something, then letting it drop down"
SSv2/20bn-something-something-v2/210361.webm,"Lifting up one end of something, then letting it drop down"
SSv2/20bn-something-something-v2/8853.webm,"Lifting up one end of something, then letting it drop down"
SSv2/20bn-something-something-v2/127325.webm,Moving away from something with your camera
SSv2/20bn-something-something-v2/207276.webm,Moving away from something with your camera
SSv2/20bn-something-something-v2/66932.webm,Moving away from something with your camera
SSv2/20bn-something-something-v2/48067.webm,Moving part of something
SSv2/20bn-something-something-v2/80788.webm,Moving part of something
SSv2/20bn-something-something-v2/97779.webm,Moving part of something
SSv2/20bn-something-something-v2/132921.webm,Moving something across a surface until it falls down
SSv2/20bn-something-something-v2/31977.webm,Moving something across a surface until it falls down
SSv2/20bn-something-something-v2/55673.webm,Moving something across a surface until it falls down
SSv2/20bn-something-something-v2/1083.webm,Moving something across a surface without it falling down
SSv2/20bn-something-something-v2/13007.webm,Moving something across a surface without it falling down
SSv2/20bn-something-something-v2/64016.webm,Moving something across a surface without it falling down
SSv2/20bn-something-something-v2/19225.webm,Moving something and something away from each other
SSv2/20bn-something-something-v2/210482.webm,Moving something and something away from each other
SSv2/20bn-something-something-v2/216928.webm,Moving something and something away from each other
SSv2/20bn-something-something-v2/216996.webm,Moving something and something closer to each other
SSv2/20bn-something-something-v2/27324.webm,Moving something and something closer to each other
SSv2/20bn-something-something-v2/61743.webm,Moving something and something closer to each other
SSv2/20bn-something-something-v2/148688.webm,Moving something and something so they collide with each other
